Ward no,Burough,PIN Code,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
1,1,700 003,Cossipore,22.617889,88.370556,1,Plaza,Indian Restaurant,Vegetarian / Vegan Restaurant,Bank,Metro Station,Playground,Train Station,ATM,River,Dessert Shop
2,1,"700030, 700050","Sinthee (Ramlila Bagan-Biswanath Colony-Roypara), Sobji Bagan, Satpukur",22.628056,88.384444,1,Train Station,Pizza Place,Playground,Plaza,Yoga Studio,Diner,Fast Food Restaurant,Falafel Restaurant,Electronics Store,Dumpling Restaurant
3,1,700 037,"Belgachia, Duttabagan",22.604444,88.383333,1,Train Station,Indian Restaurant,Indian Sweet Shop,Indie Movie Theater,Pizza Place,Bengali Restaurant,Café,Market,Plaza,Bakery
4,1,700 002/ 700 037,Paikpara,22.613056,88.379444,1,Plaza,Train Station,Metro Station,Platform,Bakery,Playground,Indian Restaurant,Dhaba,Dessert Shop,Department Store
5,1,700 002,"Tala, Belgachia",22.608889,88.379694,1,Train Station,Indian Restaurant,Bengali Restaurant,Indian Sweet Shop,Indie Movie Theater,Asian Restaurant,Metro Station,Platform,Bakery,Playground
6,1,700 002,"Chitpur, Cossipore",22.610863,88.371213,1,Indian Restaurant,Indie Movie Theater,Plaza,Fast Food Restaurant,Market,Bengali Restaurant,Indian Sweet Shop,Train Station,Food,Department Store
7,1,700 003,Bagbazar,22.603567,88.365806,1,Indian Restaurant,Market,Pizza Place,Café,Plaza,Fast Food Restaurant,Bengali Restaurant,Park,Train Station,Indie Movie Theater
8,1,700 003,"Bagbazar, Shobhabazar",22.601806,88.3665,1,Indian Restaurant,Market,Pizza Place,Café,Plaza,Fast Food Restaurant,Bengali Restaurant,Park,Train Station,Indie Movie Theater
9,1,700 004,"Shobhabazar, Kumortuli",22.595889,88.365306,1,History Museum,Indian Restaurant,Bakery,Pizza Place,Café,Plaza,Fast Food Restaurant,Metro Station,Bengali Restaurant,Market
10,2,700 004,"Shyambazar, Shobhabazar, Shyampukur, Hatibagan",22.597889,88.364326,1,History Museum,Indian Restaurant,Bakery,Pizza Place,Café,Plaza,Fast Food Restaurant,Metro Station,Bengali Restaurant,Market
11,2,700 004,"Shyambazar, Burtolla, Hatibagan",22.598806,88.373611,1,Train Station,Indian Restaurant,Bakery,Pizza Place,Café,Plaza,Fast Food Restaurant,Bengali Restaurant,Market,Park
12,2,700 004,Shyambazar (Fariapukur),22.596806,88.376694,1,Train Station,Indian Restaurant,Bakery,Pizza Place,Café,Plaza,Fast Food Restaurant,Bengali Restaurant,Market,Park
13,3,700 067,Ultadanga (Daspara-Muchi Bazar-Telenga Bagan-Surir Bagan),22.594167,88.385889,1,Indian Restaurant,Train Station,Café,Bengali Restaurant,Indian Sweet Shop,Indie Movie Theater,Italian Restaurant,Market,Electronics Store,Dhaba
14,3,700 067,"Ultadanga (Murari Pukur), Bagmari",22.589278,88.385556,1,Indian Restaurant,Train Station,Café,Dhaba,Plaza,Chinese Restaurant,Pizza Place,History Museum,Park,Department Store
15,2,700 009,Maniktala (Bangiya Sahitya Parishad-Halsi Bagan-Gouribari),22.590278,88.376556,1,Indian Restaurant,Train Station,History Museum,Pizza Place,Electronics Store,Bus Station,Market,Fast Food Restaurant,Plaza,Bengali Restaurant
16,2,700 009,Maniktala (Bangiya Sahitya Parishad-Goa Bagan),22.591278,88.371361,1,Indian Restaurant,Plaza,Café,History Museum,Park,Pizza Place,Market,Bookstore,Train Station,Bengali Restaurant
17,2,700 128,Darjipara,22.595378,88.365556,1,Indian Restaurant,History Museum,Bakery,Pizza Place,Café,Plaza,Fast Food Restaurant,Metro Station,Bengali Restaurant,Market
18,2,700 004,"Shobhabazar, Beniatola (Garanhatta)",22.593667,88.362861,1,Indian Restaurant,History Museum,Café,Bakery,Park,Pizza Place,Plaza,Fast Food Restaurant,Metro Station,Market
19,2,700 004,"Shobhabazar, Beniatola (Ahiritola)",22.595667,88.357667,1,Indian Restaurant,Café,Bengali Restaurant,Pizza Place,Plaza,Bus Station,Fast Food Restaurant,Metro Station,Market,Park
20,2,700 049,Beniatola (Ahiritola),22.593556,88.354667,1,Platform,Indian Restaurant,Market,Café,Bengali Restaurant,Hotel,Indian Sweet Shop,Indie Movie Theater,Fried Chicken Joint,Metro Station
21,4,700 047,"Jorabagan, Malapara",22.592167,88.352472,1,Platform,Indian Restaurant,Market,Bengali Restaurant,Hotel,Indian Sweet Shop,Indie Movie Theater,Fried Chicken Joint,Food & Drink Shop,Fast Food Restaurant
22,4,700 007,Posta,22.586861,88.351667,1,Platform,Indian Restaurant,Park,Café,Market,Juice Bar,History Museum,Pizza Place,Plaza,Pool
23,4,700 007,"Posta, Jorasanko",22.584667,88.356667,1,Platform,Café,Indian Restaurant,Hotel,Market,Park,History Museum,Breakfast Spot,Bengali Restaurant,Juice Bar
24,4,700 006,"Jorabagan, Pathuriaghata",22.588472,88.356361,1,Platform,Café,Indian Restaurant,History Museum,Market,Fried Chicken Joint,Park,Pizza Place,Plaza,Fast Food Restaurant
25,4,700 006,"Rambagan, Girish Park, Jorasanko, Simla",22.587761,88.361251,1,Café,History Museum,Fast Food Restaurant,Plaza,Bus Stop,Platform,Pizza Place,Park,Metro Station,Bookstore
26,4,700 006,Ramdulal Sarkar Street and Hedua Park,22.58725,88.365028,1,Indian Restaurant,Plaza,Indian Sweet Shop,Café,History Museum,Art Museum,Bengali Restaurant,Indie Movie Theater,Juice Bar,Market
27,4,700 006,Maniktala,22.58525,88.372333,1,Indian Restaurant,History Museum,Café,Platform,Indian Sweet Shop,Plaza,Juice Bar,Dhaba,Park,Pizza Place
28,4,700 006,"Maniktala, Garpar, Rajabazar",22.58025,88.375833,1,Café,Indian Restaurant,Indian Sweet Shop,History Museum,Pizza Place,Platform,Department Store,Train Station,Bookstore,Coffee Shop
29,3,700 011,Narkeldanga,22.57925,88.379833,1,Café,Pizza Place,Department Store,Platform,Indian Restaurant,Train Station,Coffee Shop,Park,Metro Station,Bus Station
30,3,700 011,"Narkeldanga, Phoolbagan, Kankurgachi",22.57625,88.387528,1,Indian Restaurant,Café,Multiplex,Train Station,Platform,Fast Food Restaurant,Fried Chicken Joint,Dhaba,Coffee Shop,History Museum
31,3,700 006,"Kankurgachi, Phoolbagan (Kadapara)",22.579861,88.388917,2,Indian Restaurant,Café,Fast Food Restaurant,Multiplex,Italian Restaurant,Fried Chicken Joint,Food Truck,Vegetarian / Vegan Restaurant,Shopping Mall,Dhaba
32,3,700 006,"Kankurgachi, Bagmari, Ultadanga (Murari Pukur-Sreekrishna Colony)",22.582861,88.391917,2,Indian Restaurant,Café,Fast Food Restaurant,Multiplex,Pizza Place,Shopping Mall,Coffee Shop,Department Store,Bakery,Bookstore
33,3,700 010,"Phoolbagan (Subhas Sarovar), Beliaghata (Kulia)",22.564861,88.399306,2,Café,Indian Restaurant,Hotel,Multiplex,Fast Food Restaurant,Shopping Mall,Convenience Store,Multicuisine Indian Restaurant,Coffee Shop,Dhaba
34,3,700 010,Beliaghata (Ganguly Bagan-Uria Bagan-Kulia),22.564861,88.389306,1,Indian Restaurant,Café,Multiplex,Platform,Fast Food Restaurant,Italian Restaurant,Coffee Shop,Dhaba,Pizza Place,Bowling Alley
35,3,700 010,"Beliaghata (Kundu Bagan-Kulia), Phoolbagan",22.567861,88.384306,1,Café,Indian Restaurant,Fast Food Restaurant,Department Store,Platform,Bus Station,History Museum,Indian Sweet Shop,Multiplex,Dhaba
36,5,"700 009, 700 010","Beliaghata (Barafkal), Sealdah, Rajabazar",22.566861,88.376972,1,Café,Department Store,Platform,Indian Sweet Shop,Juice Bar,Chinese Restaurant,Pizza Place,Multiplex,Plaza,Electronics Store
37,5,700 009,"Sealdah (Baithakkhana), Rajabazar",22.574861,88.369861,1,Café,History Museum,Platform,Indian Restaurant,South Indian Restaurant,Multiplex,Park,Pizza Place,Mughlai Restaurant,Plaza
38,4,700 009,"Rajabazar, Amherst Street",22.579167,88.370861,1,Café,Department Store,History Museum,Pizza Place,Platform,Indian Sweet Shop,Juice Bar,Multiplex,Park,Electronics Store
39,4,700 007,"Marcus Square, College Street, Simla",22.579667,88.362861,1,Café,Indian Sweet Shop,Indian Restaurant,Platform,History Museum,Multiplex,Indie Movie Theater,Market,Flea Market,Juice Bar
40,5,700 007,"College Street, College Square, Patuatola, Naren Sen Square",22.575461,88.364361,1,Café,Mughlai Restaurant,Platform,Hotel,Indian Sweet Shop,Indian Restaurant,History Museum,Sandwich Place,Train Station,Juice Bar
41,5,700 006,Jorasanko,22.582278,88.359167,1,Platform,Café,Indian Restaurant,Hotel,Indian Sweet Shop,Park,History Museum,Food & Drink Shop,Indie Movie Theater,Mughlai Restaurant
42,5,700 007,Burrabazar,22.580313,88.352673,1,Platform,Indian Restaurant,Hotel,Café,Mughlai Restaurant,Park,Juice Bar,Flea Market,Food & Drink Shop,Bookstore
43,5,700 073,"Burrabazar (Mechhua), Kolutola",22.576889,88.359167,1,Platform,Hotel,Café,Mughlai Restaurant,Indian Restaurant,History Museum,Indian Sweet Shop,Pizza Place,Park,Flea Market
44,5,700 007,"Burrabazar (Mechhua), Tiretta Bazaar, Colootola, College Street",22.574889,88.357361,1,Platform,Café,Hotel,Mughlai Restaurant,Indian Restaurant,History Museum,Indian Sweet Shop,Pizza Place,Park,Museum
45,5,700 001,"Esplanade West, Eden Gardens, Babughat, Millennium Park, B.B.D. Bagh, Lalbazar, Burrabazar",22.568889,88.346167,2,Hotel,Café,Indian Restaurant,Restaurant,Mughlai Restaurant,Fast Food Restaurant,Pizza Place,Pub,Nightclub,Bookstore
46,6,700 069,"Chowringhee, Esplanade East, Dharmatala, Janbazar, Lalbazar, Bowbazar (Chandni Chowk), Maidan",22.56725,88.350722,2,Indian Restaurant,Café,Hotel,Mughlai Restaurant,Platform,Restaurant,Nightclub,Park,Bookstore,River
47,6,700 012,"Bowbazar (Chandni Chowk), Dharmatala",22.56825,88.359611,2,Café,Hotel,Indian Restaurant,Mughlai Restaurant,Restaurant,Fast Food Restaurant,Pizza Place,Pub,Nightclub,Bookstore
48,5,700 012,Bowbazar,22.568249,88.361389,2,Café,Hotel,Indian Restaurant,Mughlai Restaurant,Restaurant,Fast Food Restaurant,Pizza Place,Pub,Nightclub,Park
49,5,700 012,"Bowbazar, Sealdah (Baithakkhana)",22.568235,88.367611,2,Hotel,Café,Mughlai Restaurant,Indian Sweet Shop,Platform,Indian Restaurant,History Museum,Market,Chinese Restaurant,Multiplex
50,5,700 012,"Bowbazar (Lebutala), Taltala, Moulali, Sealdah",22.5659,88.3633,2,Café,Hotel,Indian Restaurant,Mughlai Restaurant,Pizza Place,Pub,Fast Food Restaurant,Nightclub,Restaurant,Platform
51,6,700 012,"Bowbazar, Taltala",22.565245,88.362611,2,Café,Hotel,Indian Restaurant,Mughlai Restaurant,Restaurant,Pizza Place,Fast Food Restaurant,Nightclub,Pub,Bakery
52,6,700 014,"Taltala (Collin Street-Marquis Street), Janbazar",22.558245,88.356611,2,Café,Mughlai Restaurant,Nightclub,Hotel,Restaurant,Indian Restaurant,Platform,Chinese Restaurant,Pub,Plaza
53,6,700 014,"Taltala, Moulali",22.558245,88.361611,2,Café,Mughlai Restaurant,Indian Restaurant,Hotel,Nightclub,Restaurant,Asian Restaurant,Platform,Chinese Restaurant,Bakery
54,6,700 014,Entally,22.558685,88.368611,2,Café,Mughlai Restaurant,Hotel,Indian Restaurant,Nightclub,Fast Food Restaurant,Chinese Restaurant,Pizza Place,Pub,Restaurant
55,6,700 014,"Sealdah, Entally",22.554245,88.372811,2,Chinese Restaurant,Café,Hotel,Mughlai Restaurant,Indian Restaurant,Department Store,Platform,Multiplex,Indian Sweet Shop,Italian Restaurant
56,7,700 014,"Entally, Tangra (Seal Lane)",22.55525,88.378611,2,Chinese Restaurant,Mughlai Restaurant,Café,Platform,Indian Restaurant,Hotel,Department Store,Brewery,Awadhi Restaurant,Indian Sweet Shop
57,7,700 014,"Tangra (Munshi Bazar-Canal South Road-Metropolitan Housing), Chingrighata (Shanti Nagar), East Kolkata Wetlands (Makaltala-Chailabi)",22.559333,88.389611,2,Chinese Restaurant,Hotel,Indian Restaurant,Convenience Store,Bengali Restaurant,Dhaba,Multicuisine Indian Restaurant,Department Store,Coffee Shop,Pizza Place
58,7,700 014,"Tangra (Seal Lane), Dhapa (Mathpukur), East Kolkata Wetlands (Arupota-Bosetala-Boinchtala-Durgapur-Anandabad-Khanaberia)",22.543333,88.39725,2,Chinese Restaurant,Hotel,Indian Restaurant,Dhaba,Coffee Shop,Brewery,Bengali Restaurant,Multicuisine Indian Restaurant,Italian Restaurant,Asian Restaurant
59,7,700 046,"Beniapukur, Gobra, Tangra (Seal Lane)",22.545333,88.377125,2,Café,Chinese Restaurant,Mughlai Restaurant,Bakery,Indian Restaurant,Hotel,Coffee Shop,Brewery,Clothing Store,Park
60,6,700 014,"Park Circus, Beniapukur",22.547333,88.369325,2,Café,Chinese Restaurant,Indian Restaurant,Nightclub,Hotel,Mughlai Restaurant,Bakery,Restaurant,Dhaba,Pizza Place
61,6,700 016,"Park Circus, Beniapukur (Nonapukur), Park Street (Mullickbazar), Taltala (Elliot Road)",22.549639,88.35925,2,Café,Nightclub,Mughlai Restaurant,Bakery,Hotel,Indian Restaurant,Restaurant,Multiplex,Shopping Mall,Chinese Restaurant
62,6,700 016,"Taltala (Ripon Street-Alimuddin Street), Moulali",22.554839,88.360625,2,Café,Mughlai Restaurant,Indian Restaurant,Nightclub,Hotel,Chinese Restaurant,Restaurant,Bakery,Coffee Shop,Multiplex
63,7,700 016,"Chowringhee, Taltala (Ripon Street-Royd Street), Park Street (Kankaria Estates-Mullick Bazar), Shakespeare Sarani, Maidan, The 42, Hastings (Race Course)",22.546639,88.352444,2,Café,Nightclub,Bakery,Mughlai Restaurant,Indian Restaurant,Chinese Restaurant,Hotel,Restaurant,Dhaba,Italian Restaurant
64,7,700 017,"Park Street (Mullick Bazar), Park Circus, Beck Bagan",22.541217,88.364333,2,Café,Nightclub,Indian Restaurant,Bakery,Chinese Restaurant,Mughlai Restaurant,Hotel,Indian Sweet Shop,Dhaba,Bengali Restaurant
65,7,700 029,"Ballygunge (Ballygunge Park), Park Circus, Gobra and Tiljala (Kustia-Bondel)",22.531667,88.368444,2,Café,Chinese Restaurant,Bengali Restaurant,Bakery,Hotel,Dhaba,Mughlai Restaurant,Plaza,Department Store,Indian Restaurant
66,7,700 039,"Tangra (Chinatown), Topsia, Science City, Forum Atmosphere, Tiljala (Kustia-Picnic Garden-Binay Singh Colony)",22.531861,88.385444,2,Chinese Restaurant,Indian Restaurant,Bengali Restaurant,Asian Restaurant,Hotel,Vegetarian / Vegan Restaurant,Indian Sweet Shop,Italian Restaurant,Dhaba,Coffee Shop
67,7,700 107,"Tiljala (Kata Pukur-Bediadanga), Kasba (Natore Park-New Ballygunge-Bosepukur)",22.523889,88.376444,2,Café,Bengali Restaurant,Chinese Restaurant,Plaza,Vegetarian / Vegan Restaurant,Bakery,Dhaba,Shopping Mall,Coffee Shop,Boutique
68,8,700 019,"Ballygunge (Ballygunge Place-Ekdalia-Ballygunge Gardens-Fern Place), Gariahat",22.521889,88.368472,2,Café,Chinese Restaurant,Dhaba,Bengali Restaurant,Vegetarian / Vegan Restaurant,Plaza,Pizza Place,Indian Restaurant,Clothing Store,Boutique
69,8,700 029,"Ballygunge, Beck Bagan",22.529889,88.359472,2,Café,Chinese Restaurant,Indian Restaurant,Bakery,Hotel,Dhaba,Mughlai Restaurant,Bengali Restaurant,Nightclub,Plaza
70,8,700 020,Bhowanipore (Jadubabur Bazar),22.537889,88.350472,2,Café,Indian Restaurant,Nightclub,Hotel,Chinese Restaurant,Bakery,Dhaba,Fast Food Restaurant,Mughlai Restaurant,Italian Restaurant
71,9,700 020,Bhowanipore,22.532889,88.343472,2,Café,Hotel,Dhaba,Nightclub,Indian Restaurant,Italian Restaurant,South Indian Restaurant,Chinese Restaurant,Shopping Mall,Tea Room
72,8,700 020,Bhowanipore (Chakraberia-Paddapukur-Bakulbagan),22.528583,88.348472,2,Café,Hotel,Dhaba,Chinese Restaurant,Bakery,Indian Restaurant,Nightclub,Bengali Restaurant,Pizza Place,South Indian Restaurant
73,8,700 026,"Bhowanipore (Patuapara), Kalighat",22.527889,88.343472,2,Café,Hotel,Dhaba,Chinese Restaurant,South Indian Restaurant,Bengali Restaurant,Indian Restaurant,Shopping Mall,Pizza Place,Fast Food Restaurant
74,9,"700 027, 700 053",Alipore,22.525889,88.330472,2,Café,Fast Food Restaurant,Dessert Shop,Hotel,Dhaba,Pizza Place,Chinese Restaurant,Awadhi Restaurant,Plaza,Frozen Yogurt Shop
75,9,700 023,"Hastings, Watgunge",22.546944,88.323472,2,Lounge,Indian Restaurant,Shopping Mall,Pizza Place,Multiplex,Military Base,Men's Store,Italian Restaurant,Ice Cream Shop,Hotel
76,9,700 023,"Watgunge, Kidderpore (Andaman Dock)",22.541944,88.317861,2,Lounge,Indian Restaurant,South Indian Restaurant,Awadhi Restaurant,Chinese Restaurant,Food,Harbor / Marina,Hotel,Italian Restaurant,Racetrack
77,9,700 023,Kidderpore (Dr. Sudhir Bose Road),22.536944,88.323861,2,Dessert Shop,Hotel,Indian Restaurant,South Indian Restaurant,Awadhi Restaurant,Café,Chinese Restaurant,Food,Italian Restaurant,Lounge
78,9,"700 023, 700 027","Ekbalpur, Mominpur",22.528944,88.324235,2,Café,Dessert Shop,Hotel,Pizza Place,Indian Restaurant,South Indian Restaurant,Awadhi Restaurant,Chinese Restaurant,Fast Food Restaurant,Frozen Yogurt Shop
